	player_id	player_year	player_team	player_AVG	player_G	player_PA	player_AB	player_R	player_H	player_2B	player_3B	player_HR	player_TB	player_RBI	player_SB	player_CS	player_BB	player_HBP	player_SO	player_GDP	player_SLG	player_OBP	player_E
3	67341	2020	Å°¿ò	0.356	67	294	261	45	93	23	4	12	160	52	5	1	25	2	22	8	0.613	0.411	1
5	69209	2020	µÎ»ê	0.372	65	303	266	58	99	16	0	12	151	48	0	0	26	7	18	12	0.568	0.436	0
12	64300	2020	Å°¿ò	0.279	65	293	244	55	68	11	1	15	126	51	10	0	42	3	32	6	0.516	0.387	9
16	67304	2020	Å°¿ò	0.273	65	238	209	35	57	10	3	6	91	31	8	4	25	1	49	2	0.435	0.349	6
26	78168	2020	Å°¿ò	0.303	65	282	238	44	72	9	5	5	106	26	16	5	38	3	28	5	0.445	0.401	2
39	76290	2020	LG	0.337	65	290	264	49	89	22	1	12	149	56	0	2	23	0	23	7	0.564	0.386	0
43	67025	2020	KT	0.395	65	287	261	59	103	22	0	24	197	63	0	0	23	2	61	5	0.755	0.446	3
48	64166	2020	KT	0.328	65	279	247	38	81	18	3	6	123	30	11	4	24	3	63	2	0.498	0.391	2
54	64006	2020	KT	0.223	65	255	229	25	51	5	2	1	63	25	12	6	17	1	52	3	0.275	0.278	8
57	68743	2020	ÇÑÈ­	0.259	65	251	212	23	55	8	2	3	76	26	1	1	34	4	26	3	0.358	0.371	3
67	78224	2020	µÎ»ê	0.279	64	286	240	42	67	9	0	12	112	59	3	0	42	0	76	6	0.467	0.381	0
79	75125	2020	Å°¿ò	0.229	64	270	218	43	50	4	0	17	105	46	0	0	42	5	83	7	0.482	0.359	2
84	64657	2020	Å°¿ò	0.218	64	192	147	24	32	5	0	0	37	7	2	0	32	7	50	2	0.252	0.378	1
88	67872	2020	SK	0.264	64	269	227	36	60	13	0	13	112	36	2	0	40	1	57	3	0.493	0.375	5
89	50923	2020	NC	0.297	64	252	229	49	68	8	5	18	140	60	11	2	17	6	69	5	0.611	0.361	0
102	76267	2020	µÎ»ê	0.295	63	264	237	37	70	16	1	8	112	44	1	1	21	4	33	6	0.473	0.36	4
114	79109	2020	LG	0.281	63	251	224	38	63	14	3	7	104	34	10	2	14	6	52	2	0.464	0.336	8
119	64646	2020	KIA	0.247	63	258	239	39	59	9	0	3	77	15	8	4	15	0	42	6	0.322	0.29	5
121	69652	2020	KIA	0.309	63	279	243	45	75	20	0	16	143	55	0	0	34	2	32	8	0.588	0.398	1
133	79402	2020	»ï¼º	0.335	63	267	224	44	75	15	1	2	98	23	7	3	34	6	32	10	0.438	0.432	5
134	50506	2020	·Ôµ¥	0.288	63	254	226	30	65	12	1	5	94	39	7	0	21	2	30	7	0.416	0.348	3
148	77532	2020	·Ôµ¥	0.344	63	282	244	47	84	19	0	3	112	37	2	0	32	0	31	2	0.459	0.413	1
163	71564	2020	·Ôµ¥	0.318	63	268	236	31	75	13	0	11	121	50	0	0	28	1	28	8	0.513	0.388	0
174	79231	2020	µÎ»ê	0.268	62	232	209	34	56	7	5	2	79	23	4	2	16	1	26	6	0.378	0.322	1
190	75847	2020	SK	0.285	62	254	207	42	59	14	0	13	112	37	5	2	37	9	38	3	0.541	0.413	2
198	61102	2020	LG	0.282	62	219	202	23	57	9	0	5	81	38	1	1	8	7	42	6	0.401	0.329	0
210	78513	2020	·Ôµ¥	0.281	62	281	256	45	72	15	0	13	126	37	3	1	20	4	38	8	0.492	0.342	1
