,player_id ,player_year ,player_team,player_ERA,player_G,player_CG,player_SHO,player_W,player_L,player_SV,player_HLD,player_WPCT,player_TBF,player_IP,player_H,player_HR,player_BB,player_HBP,player_SO,player_R,player_ER
5,65060,2020,KT,3.00,35,0,0,4,1,0,13,0.800,149,36,29,4,11,0,26,13,12
11,64995,2020,NC,3.54,33,0,0,1,2,0,10,0.333,128,28,22,2,19,5,21,11,11
17,61895,2020,SK,4.91,32,0,0,0,5,2,8,0.000,128,29 1/3,25,6,14,1,32,20,16
30,76650,2020,LG,3.52,32,0,0,1,1,0,11,0.500,101,23,25,1,8,2,26,10,9
32,63894,2020,SK,2.17,31,0,0,0,0,1,9,-,123,29,18,1,19,2,32,10,7
38,64893,2020,SK,2.28,31,0,0,1,0,2,6,1.000,115,27 2/3,22,1,10,1,21,8,7
42,63991,2020,NC,3.94,31,0,0,2,0,0,6,1.000,126,29 2/3,29,1,8,3,13,14,13
47,63959,2020,NC,4.95,30,0,0,1,2,0,10,0.333,84,20,15,1,8,3,14,13,11
51,66609,2020,KIA,1.82,29,0,0,1,0,3,12,1.000,117,29 2/3,18,2,13,0,40,8,6
53,68403,2020,삼성,3.82,29,0,0,1,2,0,6,0.333,134,30 2/3,28,3,14,1,22,16,13
57,67421,2020,삼성,2.00,29,0,0,1,0,0,10,1.000,112,27,17,0,16,1,31,6,6
61,67703,2020,한화,5.79,29,0,0,0,0,0,7,-,131,28,34,5,14,2,22,22,18
66,63543,2020,롯데,2.53,29,0,0,3,0,0,10,1.000,116,32,17,5,8,0,29,10,9
72,63512,2020,롯데,4.01,29,0,0,1,2,0,11,0.333,106,24 2/3,29,4,8,1,29,11,11
74,69159,2020,LG,3.38,28,0,0,1,1,5,5,0.500,145,34 2/3,27,2,11,4,22,13,13
80,76118,2020,NC,3.45,28,0,0,3,1,14,0,0.750,116,28 2/3,23,3,9,1,21,11,11
86,60559,2020,롯데,9.41,28,0,0,1,1,0,1,0.500,109,22,26,4,17,1,16,23,23
99,76329,2020,두산,4.43,27,0,0,2,0,1,4,1.000,92,20 1/3,22,0,9,2,18,12,10
113,76757,2020,KT,4.08,27,0,0,1,0,0,5,1.000,115,28 2/3,21,5,10,0,19,13,13
120,63638,2020,KIA,1.63,27,0,0,3,0,0,8,1.000,105,27 2/3,21,1,1,0,22,8,5
124,67737,2020,한화,5.48,27,0,0,0,3,0,4,0.000,108,23,26,4,12,1,28,17,14
131,62242,2020,두산,5.04,26,0,0,0,0,2,5,-,104,25,28,4,3,1,12,15,14
135,64051,2020,키움,4.64,26,0,0,1,2,0,13,0.333,90,21 1/3,21,4,7,1,15,11,11
141,65062,2020,KT,5.33,26,0,0,2,3,9,0,0.400,120,27,34,5,7,0,28,16,16
147,60146,2020,삼성,4.88,26,0,0,0,2,0,5,0.000,105,24,24,6,13,0,24,13,13
151,67266,2020,두산,2.76,25,0,0,3,1,0,1,0.750,132,29 1/3,24,0,18,3,21,14,9
154,67263,2020,두산,4.15,25,0,0,3,0,0,0,1.000,168,39,42,5,10,3,29,18,18
162,63248,2020,두산,2.33,25,0,0,3,0,10,2,1.000,109,27,19,0,10,0,27,8,7
167,62360,2020,키움,4.00,25,0,0,4,0,0,5,1.000,149,36,36,1,8,3,24,17,16
172,61268,2020,키움,2.60,25,0,0,4,2,1,4,0.667,107,27 2/3,22,1,5,2,19,8,8
177,66145,2020,LG,6.56,25,0,0,3,0,0,3,1.000,111,23 1/3,27,6,15,0,22,19,17
192,73117,2020,삼성,2.84,25,0,0,2,0,7,6,1.000,100,25 1/3,21,2,3,0,14,9,8
201,79293,2020,롯데,5.19,25,0,0,3,1,0,5,0.750,75,17 1/3,21,3,4,1,9,10,10
208,61643,2020,두산,3.98,24,0,0,1,0,1,5,1.000,130,31 2/3,31,5,7,0,30,15,14
214,62528,2020,롯데,1.78,24,0,0,2,1,10,0,0.667,99,25 1/3,19,3,6,0,19,8,5
218,64565,2020,롯데,2.88,24,0,0,1,4,0,1,0.200,101,25,26,0,4,1,10,8,8
230,76430,2020,키움,5.49,23,0,0,2,1,0,6,0.667,90,19 2/3,21,3,9,1,21,13,12
237,63342,2020,키움,0.73,23,0,0,2,1,16,0,0.667,97,24 2/3,19,1,4,1,25,3,2
243,62920,2020,삼성,2.95,23,0,0,0,1,0,8,0.000,83,18 1/3,15,1,14,1,15,8,6
247,67443,2020,삼성,8.46,23,0,0,0,1,0,0,0.000,115,22 1/3,29,3,17,2,19,27,21
248,67391,2020,키움,4.44,22,0,0,0,2,0,1,0.000,106,24 1/3,28,2,11,0,22,16,12
250,65398,2020,키움,5.19,22,0,0,1,0,0,1,1.000,112,26,33,10,6,1,17,15,15
257,79825,2020,LG,6.75,22,0,0,1,3,1,2,0.250,106,24,30,6,4,2,12,20,18
268,79358,2020,NC,4.96,22,0,0,1,1,0,3,0.500,79,16 1/3,22,2,9,0,13,9,9
271,63628,2020,KIA,3.25,22,0,0,1,1,0,1,0.500,117,27 2/3,32,2,5,0,10,10,10
277,65769,2020,한화,4.29,22,0,0,3,6,0,0,0.333,228,50 1/3,47,7,33,3,48,26,24
285,79545,2020,롯데,9.56,22,0,0,0,1,0,2,0.000,77,16,13,2,16,0,17,17,17
287,65117,2020,LG,6.43,21,0,0,2,2,4,1,0.500,103,21,28,2,15,1,12,15,15
291,65643,2020,KIA,5.21,20,0,0,0,2,10,0,0.000,88,19,25,4,5,1,22,12,11
299,61457,2020,삼성,2.38,20,0,0,0,1,0,0,0.000,51,11 1/3,12,2,4,3,7,5,3
303,78536,2020,롯데,4.24,20,0,0,0,1,0,0,0.000,96,23 1/3,16,0,15,0,19,11,11
321,73801,2020,LG,7.50,19,0,0,1,2,2,2,0.333,91,18,31,2,8,2,7,15,15
330,79140,2020,LG,4.10,19,0,0,1,0,0,0,1.000,112,26 1/3,31,5,6,1,18,13,12
336,62146,2020,LG,4.73,19,0,0,0,0,0,0,-,57,13 1/3,10,1,6,0,12,7,7
337,65241,2020,두산,4.12,18,0,0,0,0,0,2,-,88,19 2/3,21,0,9,1,19,9,9
349,76858,2020,SK,6.48,18,0,0,0,1,0,0,0.000,74,16 2/3,21,4,5,0,19,12,12
358,77563,2020,KT,5.40,18,0,0,1,1,0,1,0.500,65,15,11,2,10,0,7,9,9
369,78247,2020,KIA,3.06,18,0,0,1,4,0,3,0.200,81,17 2/3,9,1,19,1,30,6,6
374,62951,2020,두산,7.53,17,0,0,0,2,1,1,0.000,69,14 1/3,17,3,8,1,6,12,12
382,60768,2020,SK,6.38,17,0,0,0,0,0,1,-,86,18 1/3,26,2,7,0,16,14,13
395,75340,2020,KT,6.50,17,0,0,0,1,0,1,0.000,81,18,21,2,9,0,9,13,13
398,64047,2020,KT,3.38,17,0,0,0,1,1,1,0.000,65,16,12,1,8,1,9,6,6
401,64554,2020,한화,3.86,17,0,0,0,1,1,1,0.000,75,16 1/3,12,2,15,1,9,8,7
415,77591,2020,롯데,4.57,17,0,0,1,1,0,1,0.500,103,21 2/3,26,2,12,2,20,11,11
420,62056,2020,SK,5.79,16,0,0,1,1,1,1,0.500,62,14,14,5,5,2,10,9,9
422,69962,2020,NC,4.80,16,0,0,1,0,0,0,1.000,60,15,12,1,5,0,17,8,8
427,65048,2020,KT,6.33,16,0,0,2,3,0,0,0.400,202,42 2/3,66,4,15,1,23,32,30
436,60140,2020,한화,9.00,16,0,0,0,1,0,0,0.000,57,12,15,2,7,2,14,12,12
437,63464,2020,한화,3.00,16,0,0,0,0,0,0,-,76,15,22,2,9,0,11,9,5
445,61214,2020,한화,6.46,16,0,0,0,2,0,0,0.000,75,15 1/3,18,4,10,1,15,12,11
460,74857,2020,한화,5.29,16,0,0,1,1,6,0,0.500,72,17,17,0,2,3,21,10,10
463,63348,2020,키움,4.00,15,0,0,0,0,0,1,-,73,18,14,2,4,1,11,8,8
468,65343,2020,SK,8.49,15,0,0,1,0,0,2,1.000,58,11 2/3,15,2,9,0,12,11,11
471,67863,2020,SK,7.94,15,0,0,0,1,0,0,0.000,87,17,23,3,14,0,15,16,15
475,64768,2020,SK,5.89,15,0,0,1,0,0,0,1.000,90,18 1/3,27,0,8,1,9,13,12
477,69813,2020,SK,7.62,15,0,0,1,1,4,0,0.500,66,13,19,2,8,0,10,13,11
485,60339,2020,NC,10.22,15,0,0,1,1,0,2,0.500,55,12 1/3,11,4,9,1,13,14,14
495,78352,2020,NC,10.64,15,0,0,2,1,0,2,0.667,58,11,13,1,9,1,13,15,13
496,50040,2020,KT,4.63,15,0,0,6,5,0,0,0.545,393,91 1/3,102,9,23,5,72,49,47
504,61365,2020,삼성,4.01,15,0,0,3,3,0,1,0.500,212,49 1/3,49,5,18,4,24,23,22
514,75421,2020,삼성,4.91,15,0,0,1,1,6,2,0.500,66,14 2/3,16,1,8,1,9,8,8
517,64760,2020,한화,7.24,15,0,0,0,0,0,4,-,67,13 2/3,16,3,8,2,15,11,11
535,72447,2020,두산,10.29,14,0,0,2,2,0,2,0.500,34,7,10,0,3,0,6,9,8
537,69045,2020,두산,2.89,14,0,0,10,1,0,0,0.909,365,90 1/3,86,7,12,5,83,30,29
539,69343,2020,키움,2.12,14,0,0,9,3,0,0,0.750,343,89,72,4,12,3,60,28,21
540,50835,2020,SK,4.60,14,0,0,4,5,0,0,0.444,369,78 1/3,93,4,41,6,43,50,40
546,61295,2020,NC,5.02,14,0,0,1,1,0,1,0.500,59,14 1/3,12,3,6,1,11,8,8
548,65496,2020,삼성,5.79,14,0,0,0,0,0,0,-,63,14,14,1,4,1,15,10,9
551,63765,2020,한화,5.93,14,0,0,0,0,0,3,-,62,13 2/3,17,3,4,0,9,10,9
553,69744,2020,한화,4.67,14,1,1,5,8,0,0,0.385,388,88 2/3,110,7,14,7,52,54,46
554,50558,2020,롯데,2.03,14,0,0,4,2,0,0,0.667,345,88 2/3,64,5,21,2,89,24,20
564,79229,2020,두산,4.93,13,0,0,6,4,0,0,0.600,312,69 1/3,91,6,22,1,28,45,38
568,66291,2020,두산,5.96,13,0,0,3,5,0,0,0.375,341,71,94,4,37,4,47,53,47
571,67603,2020,키움,6.12,13,0,0,2,4,0,0,0.333,269,60 1/3,73,8,21,3,39,43,41
572,65411,2020,SK,4.05,13,0,0,0,3,0,0,0.000,60,13 1/3,16,1,7,2,8,6,6
579,62869,2020,SK,3.30,13,0,0,2,6,0,0,0.250,323,79,70,6,20,4,68,33,29
587,60841,2020,SK,5.01,13,0,0,4,5,0,0,0.444,307,70,70,6,32,6,71,41,39
590,68135,2020,LG,4.13,13,0,0,4,5,0,0,0.444,327,76 1/3,80,7,24,2,54,41,35
592,69103,2020,LG,4.36,13,0,0,4,4,0,0,0.500,323,76 1/3,85,7,19,4,64,39,37
593,50912,2020,NC,3.84,13,0,0,6,2,0,0,0.750,303,70 1/3,67,7,32,5,55,30,30
595,69940,2020,NC,2.05,13,0,0,9,1,0,0,0.900,337,83 1/3,66,6,24,4,73,20,19
604,60263,2020,NC,5.59,13,0,0,4,5,0,0,0.444,295,67 2/3,72,9,26,4,47,42,42
606,69041,2020,KT,5.73,13,0,0,0,0,0,1,-,47,11,12,3,4,0,9,7,7
607,50640,2020,KIA,3.53,13,0,0,6,3,0,0,0.667,313,74,65,2,25,4,74,34,29
608,50636,2020,KIA,2.49,13,1,1,5,3,0,0,0.625,331,83,78,3,15,2,68,24,23
622,77637,2020,KIA,6.31,13,0,0,5,5,0,0,0.500,300,67,80,11,21,1,51,50,47
623,50404,2020,삼성,3.36,13,1,0,8,4,0,0,0.667,343,85 2/3,80,10,18,5,57,33,32
639,73738,2020,한화,7.71,13,0,0,1,1,0,0,0.500,67,14,21,2,4,0,12,14,12
640,50234,2020,두산,3.80,12,0,0,4,3,0,0,0.571,270,64,61,3,21,1,59,29,27
645,65320,2020,키움,4.73,12,0,0,4,3,0,0,0.571,288,66 2/3,71,9,17,5,44,38,35
653,62363,2020,키움,6.28,12,0,0,4,4,0,0,0.500,284,61 2/3,84,4,17,7,46,45,43
662,79847,2020,SK,5.96,12,0,0,1,5,0,0,0.167,200,45 1/3,41,4,28,3,24,30,30
677,76455,2020,LG,5.37,12,0,0,5,5,0,0,0.500,286,63 2/3,71,8,28,2,51,39,38
682,65933,2020,NC,1.35,12,0,0,9,0,0,0,1.000,294,80,48,3,15,0,92,14,12
686,65516,2020,KT,4.11,12,0,0,5,2,0,0,0.714,309,70,73,7,33,1,46,33,32
700,75342,2020,KT,2.51,12,0,0,0,0,0,0,-,53,14 1/3,10,0,3,0,3,4,4
704,65616,2020,KIA,5.19,12,0,0,4,4,0,0,0.500,289,67 2/3,70,6,22,4,41,43,39
721,99445,2020,삼성,7.15,12,0,0,0,2,0,0,0.000,48,11 1/3,14,0,1,0,4,9,9
723,69446,2020,삼성,3.12,12,0,0,5,2,0,0,0.714,284,66 1/3,66,7,25,3,40,24,23
729,65764,2020,한화,4.55,12,0,0,2,6,0,0,0.250,273,61 1/3,60,10,27,2,58,35,31
742,77318,2020,한화,4.52,12,0,0,2,5,0,0,0.286,286,61 2/3,69,6,34,5,67,33,31
748,64021,2020,롯데,5.19,12,0,0,3,5,0,0,0.375,276,60 2/3,69,10,24,3,47,39,35
750,69539,2020,롯데,4.82,12,0,0,4,3,0,0,0.571,269,61 2/3,71,10,18,4,32,37,33
760,77263,2020,두산,6.75,11,0,0,0,2,0,0,0.000,45,8,13,0,7,1,8,9,6
763,68341,2020,키움,7.20,11,0,0,0,2,0,3,0.000,44,10,6,1,8,0,12,8,8
766,64861,2020,SK,3.08,11,0,0,4,2,0,0,0.667,202,49 2/3,37,3,23,2,37,17,17
774,61101,2020,LG,4.06,11,0,0,5,3,0,0,0.625,277,64 1/3,65,6,17,3,62,33,29
779,65042,2020,NC,12.60,11,0,0,0,0,1,0,-,82,15,21,3,13,1,12,22,21
780,50030,2020,KT,5.90,11,0,0,4,5,0,0,0.444,258,58,70,6,17,3,28,43,38
787,62754,2020,KIA,3.57,11,0,0,5,4,0,0,0.556,239,58,58,4,14,4,51,29,23
800,77446,2020,삼성,5.19,11,0,0,4,4,0,0,0.500,258,59,67,13,17,1,46,43,34
803,68419,2020,삼성,3.88,11,0,0,6,2,0,0,0.750,261,60 1/3,56,6,25,4,46,31,26
804,50705,2020,한화,0.00,11,0,0,0,0,0,2,-,49,11 2/3,6,0,6,0,18,2,0
